Task,ExpTime,iStrideCt,iStrideLeg,iStrideUse,iHS1,cTO,cHS,iTO,iHS2,iA2_Target,iA2_Actual,iA2_Decr,iA2_Success,iA2_Time,iHipAng1_MinSt,iHipAng1_MaxSw,iHipAngVel1_MaxStSw,iHipPow1_H1,iHipPow1_H2,iHipPow1_H3,cHipAng1_MaxSt,cHipAng1_MinSw,iHipAng2_MinSt,iHipAng2_MaxSw,iKneeAng1_IC,iKneeAng1_MaxSw,iKneeAngVel1_MaxSw,iKneeMom1_MaxSt,iKneePow1_K2,iKneePow1_K3,iAnkAng1_iA2,iAnkleAng1_MaxSt,iAnkleAng1_MinStSw,iAnkAngVel1_iA2,iAnkleAngVel1_MinSt,iAnkMom1_iA2,iAnkleMom1_MinSt,iGRF_AP_brake,iGRF_AP_propel,iGRF_VT_F1,iGRF_VT_F2,iGRF_VT_F3,iFT_COPreldisp_cTO,iFT_COPreldisp_cHS,iFT_COPreldisp_iA2,iDLS1_Time,iDLS2_Time,iSLS_Time,iSwing_Time,iStep_Time,cStep_Time,iStep_Length,iStep_Length_LL,cStep_Length,cStep_Length_LL,StepLengthSym,iDLS1_TimeGC,iDLS2_TimeGC,iSLS_TimeGC,iSwing_TimeGC,iStep_TimeGC,cStep_TimeGC
SSWS,0.9,1,L,1,0,0.2,0.54,0.72,1.1,3.82468244714557,3.50738263130188,3.50738263130188,0,0.66,-7.86586093902588,26.0109691619873,147.783065795898,0.279825270175934,-0.207763522863388,0.50395679473877,27.5605659484863,-10.0157136917114,-3.8543074131012,5.20844221115112,9.70476531982422,68.8583526611328,373.621368408203,0.384891152381897,0.221564128994942,-0.647266507148743,5.64267730712891,15.4924468994141,-16.8021240234375,-239.760498046875,-280.646942138672,-0.805697381496429,-1.31664562225342,-1.36894868192575,1.4623013203794,10.3855243327225,7.42321314185131,9.19224278681165,40.5675191830671,80.3247871301432,87.2769008711591,0.2,0.18,0.34,0.38,0.56,0.54,0.558646604418755,0.694731111333648,0.540847986936569,0.668851336549311,0.016187999124439,18.1818181818182,16.3636363636364,30.9090909090909,34.5454545454545,50.9090909090909,49.0909090909091
SSWS,2,2,L,1,0,0.18,0.54,0.74,1.1,3.82468244714557,4.21944093704224,4.21944093704224,1,0.66,-6.71724557876587,27.2490539550781,154.653732299805,0.340293169021606,-0.237985923886299,0.573964536190033,26.1810970306396,-10.3845567703247,-3.14214730262756,5.72153759002686,6.91383075714111,70.0121765136719,378.117584228516,0.458535879850388,0.229280546307564,-0.763823986053467,4.16524505615234,15.1292495727539,-22.8061370849609,-268.184509277344,-319.844635009766,-0.868217349052429,-1.3254771232605,-1.53434990361194,1.51025506060016,10.4161128386604,7.37813053733436,9.32033575722987,38.21452731195,80.438924081393,87.8863383308285,0.18,0.2,0.36,0.36,0.56,0.54,0.532138839364052,0.661766140402543,0.534813046455383,0.661388097146869,-0.00250639895469855,16.3636363636364,18.1818181818182,32.7272727272727,32.7272727272727,50.9090909090909,49.0909090909091
SSWS,3.1,3,L,1,0,0.18,0.5,0.68,1.04,3.82468244714557,3.38314342498779,3.38314342498779,0,0.62,-6.06599283218384,25.5507698059082,141.166748046875,0.311868160963058,-0.241682782769203,0.533768892288208,24.8234634399414,-10.9945344924927,-2.81516313552856,6.42489194869995,9.36207580566406,68.6096420288086,378.120727539063,0.486398160457611,0.294092237949371,-0.887258589267731,6.98073577880859,16.2094039916992,-14.7093734741211,-246.695449829102,-287.857971191406,-0.764385163784027,-1.31053555011749,-1.39151048675517,1.3275217412188,10.5003981319997,7.3047969416154,9.05954128174615,39.0122282984211,79.3699777438416,84.3792983192815,0.18,0.18,0.32,0.36,0.54,0.5,0.560378156602383,0.696884464031667,0.475520133972168,0.588062237163681,0.0819173304969439,17.3076923076923,17.3076923076923,30.7692307692308,34.6153846153846,51.9230769230769,48.0769230769231
SSWS,4.14,4,L,1,0,0.2,0.52,0.7,1.04,3.82468244714557,3.64270901679993,3.64270901679993,0,0.62,-6.391526222229,27.7840366363525,151.563278198242,0.381915748119354,-0.347390830516815,0.603096842765808,27.0195140838623,-7.66699075698853,-3.21117687225342,4.58293581008911,6.12692546844482,70.1259994506836,369.603393554688,0.495983749628067,0.25406888127327,-1.26089990139008,10.0853729248047,15.969123840332,-20.9358596801758,-200.88313293457,-322.736541748047,-0.978914141654968,-1.29882419109344,-1.54279142160162,1.25213478531456,10.6270016183457,7.20699989990667,9.09544316747271,40.9461442948415,78.2447743531667,85.2724872029063,0.2,0.18,0.32,0.34,0.52,0.52,0.519955888390541,0.646615461955376,0.504222124814987,0.623557173634799,0.0153623328881173,19.2307692307692,17.3076923076923,30.7692307692308,32.6923076923077,50,50
SSWS,5.18,5,L,1,0,0.180000000000001,0.54,0.720000000000001,1.08,3.82468244714557,3.78385186195374,3.78385186195374,0,0.66,-7.71176862716675,26.0191078186035,151.935577392578,0.279659420251846,-0.269883334636688,0.40347084403038,27.1407852172852,-10.5308389663696,-2.62275743484497,5.31752586364746,10.0950241088867,69.1235733032227,368.079040527344,0.54873913526535,0.331215649843216,-0.749810934066772,7.47946929931641,16.9043884277344,-18.4971084594727,-252.822280883789,-305.529815673828,-0.823909819126129,-1.30489313602448,-1.45537677098947,1.45877631889985,10.424818341104,7.3130272277121,9.02075352062967,35.1398667604403,76.5608466385093,86.2737576456598,0.180000000000001,0.180000000000001,0.359999999999999,0.359999999999999,0.54,0.54,0.552976854145527,0.687680228222308,0.506554931402206,0.626442089251496,0.0438136197295131,16.6666666666667,16.6666666666667,33.3333333333333,33.3333333333333,50,50
SSWS,6.26,6,L,1,0,0.180000000000001,0.52,0.7,1.06,3.82468244714557,3.6140341758728,3.6140341758728,0,0.64,-7.24090480804443,25.3854866027832,145.221878051758,0.207908853888512,-0.279105126857758,0.737147271633148,27.1411170959473,-8.29687976837158,-2.92268848419189,5.35965442657471,8.1544189453125,68.1972427368164,368.005584716797,0.578128099441528,0.340355277061462,-0.892073512077332,8.20890808105469,16.4456024169922,-11.8952255249023,-237.979919433594,-279.384368896484,-0.838566422462463,-1.28636431694031,-1.69881698383646,1.32924451130084,10.924652845238,7.04593879542558,9.02809277607602,36.8331828003004,74.5753577035996,85.6753367725558,0.180000000000001,0.18,0.34,0.36,0.54,0.52,0.534743078052998,0.665004763217465,0.49351504445076,0.610316031603897,0.0400950235159334,16.9811320754717,16.9811320754717,32.0754716981132,33.9622641509434,50.9433962264151,49.0566037735849
SSWS,7.32,7,L,1,0,0.16,0.52,0.699999999999999,1.04,3.82468244714557,3.73961639404297,3.73961639404297,0,0.62,-7.99022674560547,25.5451583862305,150.185806274414,0.220113173127174,-0.299534022808075,0.636586666107178,26.7386569976807,-10.6904811859131,-2.64115715026855,5.12909650802612,10.3555202484131,68.3783798217773,382.130706787109,0.530005097389221,0.314479619264603,-0.833346009254456,9.45720672607422,16.0437393188477,-17.0487594604492,-208.294616699219,-301.44921875,-0.976847529411316,-1.33258438110352,-1.58458519209124,1.41321572741834,10.8351259865208,7.07266927163718,9.33819538053396,36.7484521979986,79.4848740834546,84.1369196440091,0.16,0.18,0.359999999999999,0.34,0.52,0.52,0.537981033325195,0.669031473926721,0.518031865358353,0.640635287343139,0.0188910267968429,15.3846153846154,17.3076923076923,34.6153846153846,32.6923076923077,50,50
SSWS,8.36,8,L,1,0,0.200000000000001,0.540000000000001,0.720000000000001,1.1,3.82468244714557,3.82531714439392,3.82531714439392,1,0.66,-7.01648998260498,24.7321472167969,137.553756713867,0.287560343742371,-0.310341387987137,0.543819665908813,27.4948081970215,-11.546425819397,-2.84405541419983,5.66186571121216,6.86020612716675,67.8061447143555,372.216003417969,0.525651574134827,0.393584877252579,-0.94732278585434,6.33643341064453,16.874397277832,-18.4613800048828,-253.648010253906,-297.974517822266,-0.835172951221466,-1.33465158939362,-1.59296342917279,1.49402300895415,10.6441962934033,7.1533079887925,9.38306165522138,40.1878998919085,78.3545609422901,86.2939947217121,0.200000000000001,0.18,0.34,0.380000000000001,0.56,0.540000000000001,0.565901562571526,0.703753353839531,0.547018080949783,0.676481716484251,0.0169675157875679,18.1818181818183,16.3636363636363,30.9090909090909,34.5454545454546,50.9090909090909,49.0909090909091
SSWS,9.46,9,L,1,0,0.18,0.52,0.719999999999999,1.06,3.82468244714557,3.96282434463501,3.96282434463501,1,0.64,-7.37540674209595,26.9781913757324,150.634811401367,0.312084257602692,-0.34609717130661,0.543450772762299,27.0602970123291,-9.9019250869751,-3.13282036781311,5.1006383895874,7.94441080093384,69.4413146972656,372.064270019531,0.551428318023682,0.341118007898331,-1.09955036640167,9.76531982421875,18.2741088867188,-18.1689453125,-243.384323120117,-315.673767089844,-0.898259401321411,-1.31612241268158,-1.67896329156574,1.46350166278909,10.6663399566103,7.14354211554515,9.10015100105813,38.9819695774099,73.9911039374617,85.9135830134024,0.18,0.199999999999999,0.34,0.34,0.539999999999999,0.52,0.543675273656845,0.676112812795547,0.517354428768158,0.639797520762282,0.0248068879019413,16.9811320754717,18.8679245283018,32.0754716981132,32.0754716981132,50.9433962264151,49.0566037735849
SSWS,10.52,10,L,1,0,0.200000000000001,0.540000000000001,0.720000000000001,1.1,3.82468244714557,3.31247639656067,3.31247639656067,0,0.64,-8.2917537689209,24.441198348999,138.305633544922,0.27248814702034,-0.298799842596054,0.481676399707794,24.8777027130127,-11.050742149353,-2.70251607894897,4.68465948104858,9.79270362854004,68.6423721313477,373.932769775391,0.489571303129196,0.325939536094666,-0.918297350406647,11.7648086547852,16.805305480957,-16.1835784912109,-179.124130249023,-290.332916259766,-1.01238131523132,-1.31399393081665,-1.43841449534407,1.39427589568777,10.1684231632193,7.23100586150283,9.05473946880856,39.2044515467849,78.5713747179453,84.8523534428869,0.200000000000001,0.18,0.34,0.379999999999999,0.559999999999999,0.540000000000001,0.542574793100357,0.674744258732992,0.547114968299866,0.676601534316918,-0.00416648422361486,18.1818181818183,16.3636363636363,30.9090909090909,34.5454545454545,50.9090909090908,49.0909090909092
