Step Count,iA2,A2_Success,iHipFlexion_max,iHip_Extension_max,cHipFlexion_max,cHip_Extension_max,iSingle_Support,cSingle_Support,iSL,cSL,SLS,iAPGRF_max,cAPGRF_max,iVGRF_max,cVGRF_max
1,2.248715401,0,29.37300682,-3.688361645,29.82250595,-1.346717596,0.399999857,0.419999957,0.4539271,0.514182627,0.030127764,1.263595223,1.036513209,10.52322006,10.7484808
2,2.331135511,0,28.54454994,-6.712387085,31.27407646,-1.881857395,0.420000076,0.440000057,0.522253871,0.505891323,-0.008181274,1.265277982,1.442965269,10.11228466,10.21276283
3,2.353150129,0,27.41186523,-5.192806244,29.31071854,-3.427365541,0.420000076,0.460000038,0.503236115,0.510477841,0.003620863,1.249286413,1.271101356,10.71229458,10.12637806
4,2.175272226,0,28.20545006,-5.191596508,29.28794289,-3.598172188,0.419999599,0.440000057,0.502789199,0.510355651,0.003783226,1.253791571,1.332972169,10.22272396,10.35743904
5,2.848020554,1,29.26916122,-3.877552271,28.0417881,-3.5980165,0.440000057,0.399999619,0.503730595,0.507268667,0.001769036,1.465701461,1.200292945,10.28392029,10.50847816
6,2.133502245,0,28.30501366,-4.3245368,29.98991013,-5.287742138,0.460000515,0.440000057,0.524926126,0.509010911,-0.007957608,1.344331264,1.450754166,10.02047157,10.3401432
7,2.032141447,0,26.74724197,-7.016428471,29.07334518,-5.657629967,0.440000534,0.460000038,0.537258446,0.546406567,0.00457406,1.495869756,1.502956867,10.23448181,10.27599049
8,2.295289993,0,28.35530281,-6.541548729,30.17517853,-3.115143299,0.420000076,0.43999958,0.497362196,0.515493274,0.009065539,1.312294841,1.368060589,10.17529392,10.45479393
9,2.285097122,0,28.70751381,-4.843673706,29.62345695,-4.657062054,0.420000076,0.460000038,0.5315184,0.546623349,0.007552475,1.407151103,1.440268517,9.945054054,10.19223595
10,2.219332695,0,28.99492264,-6.802518368,29.81798935,-2.005803823,0.43999958,0.440000534,0.503892064,0.553420067,0.024764001,1.3820467,1.29764545,9.789190292,10.41476727
11,2.012914419,0,27.97455025,-5.442729473,27.81205559,-4.622666836,0.420000076,0.43999958,0.506967127,0.511314511,0.002173692,1.269209385,1.382239699,10.42920589,10.13104725
12,1.981887579,0,26.18872833,-7.251550674,29.94028473,-4.182717323,0.43999958,0.460000038,0.550898969,0.517188013,-0.016855478,1.294469357,1.571700335,10.2545166,9.92923069
13,2.203333616,0,27.57403564,-5.748354912,29.30849648,-4.816015244,0.420000076,0.440000534,0.502502739,0.54103756,0.01926741,1.404758334,1.309366703,10.29591656,10.30351162
14,2.17775178,0,28.49739265,-6.52771616,30.57666016,-2.564319372,0.420000076,0.460000992,0.511403024,0.551692069,0.020144522,1.439973831,1.348615646,9.714722633,10.79486561
15,1.991583467,0,28.89856911,-5.432759762,31.27772903,-2.03630805,0.420000076,0.439998627,0.510901213,0.509298384,-0.000801414,1.212948561,1.387192369,10.13800716,10.43448257
16,2.4205091,0,28.92114258,-4.934335709,29.80637169,-1.324286461,0.440000534,0.459999084,0.506332815,0.567088187,0.030377686,1.456072569,1.39526844,10.51536179,10.75312138
17,1.995200038,0,27.26420403,-8.431721687,28.91514206,-4.132935524,0.440000534,0.440000534,0.500741541,0.552002728,0.025630593,1.391475916,1.304610014,9.667613029,10.16415405
18,2.144193888,0,27.8354454,-7.22043705,28.2357235,-3.427811146,0.420000076,0.460000992,0.50745362,0.538333237,0.015439808,1.440197706,1.263233542,10.10220051,10.42748547
19,2.255428076,0,29.29102707,-4.885611057,28.74894524,-2.589996099,0.440000534,0.439998627,0.502905011,0.511116624,0.004105806,1.375047684,1.273122311,9.901569366,10.77244949
20,2.174880028,0,28.17791367,-6.495073795,29.44839859,-3.997975349,0.440000534,0.440000534,0.512716472,0.536208391,0.01174596,1.393547058,1.400805473,9.911316872,10.69644833
21,2.08953023,0,28.02857208,-7.06697607,29.03011703,-4.399116993,0.420000076,0.440000534,0.514642596,0.550876617,0.018117011,1.400510669,1.283295631,10.06711578,10.07642365
22,2.189348936,0,27.94275665,-5.570075035,28.17606926,-3.783761024,0.460000992,0.440000534,0.516552985,0.509872973,-0.003340006,1.242701054,1.347163439,9.97297287,10.13041592
23,1.981015444,0,28.10792542,-7.014111519,29.12357521,-3.448676109,0.439998627,0.439998627,0.523365498,0.534665227,0.005649865,1.459948778,1.346498609,9.897045135,10.21209621
24,2.511334181,0,27.95528221,-4.577916622,28.54837608,-4.626885414,0.439998627,0.440000534,0.515908718,0.489115894,-0.013396412,1.217452049,1.395746946,9.979187012,9.982544899
25,1.904711843,0,28.3536396,-6.337810516,27.15522575,-2.016405344,0.460000992,0.439998627,0.514408886,0.542968571,0.014279842,1.377304196,1.322968721,9.970208168,10.38677025
26,1.724755049,0,27.96306801,-7.575722218,29.15505981,-2.882172346,0.439998627,0.420000076,0.526396036,0.504910886,-0.010742575,1.216257334,1.33978188,10.25304699,9.924090385
27,1.838027596,0,28.27170944,-4.722139359,28.2779789,-1.248574018,0.439998627,0.420001984,0.513967514,0.473452657,-0.020257428,1.1487993,1.328337193,10.64140892,10.13533306
28,2.152112246,0,27.38115501,-5.834781647,27.7407608,-3.686847687,0.459999084,0.419998169,0.514449477,0.507303059,-0.003573209,1.359603524,1.286127925,10.05077553,10.01154232
29,1.796146512,0,27.63067245,-6.508285046,28.4002018,-4.709524632,0.439998627,0.419998169,0.510922551,0.526712239,0.007894844,1.334762335,1.283464074,10.12517262,10.3440876
30,2.16756773,0,27.9523983,-6.367732048,27.92275047,-4.105682373,0.439998627,0.440002441,0.516096175,0.540809989,0.012356907,1.389357567,1.279735923,9.895673752,10.57937431
31,1.922407866,0,25.85098457,-6.637039661,27.37492752,-4.359003067,0.439998627,0.440002441,0.512463331,0.505278707,-0.003592312,1.243589282,1.292146444,9.872721672,10.06834412
32,2.614193916,1,29.52785683,-5.653208256,27.94563293,-4.606089592,0.420001984,0.439998627,0.517049432,0.521019638,0.001985103,1.474395275,1.282720089,9.820731163,10.25098801
33,1.987360001,0,26.49870491,-6.779463291,27.64727402,-3.539078951,0.440002441,0.439998627,0.499554187,0.502822042,0.001633927,1.183561802,1.346921325,10.06856251,9.971705437
34,1.847037792,0,26.94758797,-7.509485722,28.75884628,-4.224190712,0.439998627,0.419998169,0.503349423,0.519510269,0.008080423,1.389024734,1.314156413,10.13531971,10.07108021
35,1.961232543,0,27.582407,-5.849158287,30.68242264,-5.560467243,0.459999084,0.420001984,0.493988633,0.528578877,0.017295122,1.348524809,1.264891624,10.05237198,10.40164566
36,2.049635172,0,28.15130997,-7.864661694,29.30911446,-7.23306036,0.479999542,0.459999084,0.541550636,0.539688349,-0.000931144,1.400852442,1.338719726,9.946089745,9.999814987
37,1.870230436,0,28.4053936,-6.947531223,29.58581161,-3.963145971,0.459999084,0.440002441,0.514712512,0.539475739,0.012381613,1.29039228,1.310487866,9.716339111,10.07266426
38,2.526192665,0,28.41673279,-5.493988514,29.19961166,-4.14922142,0.459999084,0.459999084,0.530621648,0.529123664,-0.000748992,1.373162985,1.381906748,10.19809341,10.39870262
39,1.874404788,0,26.63873863,-8.11474514,29.40333557,-5.222982883,0.460002899,0.479999542,0.534550846,0.543433666,0.00444141,1.311333179,1.485153079,9.950639725,9.659800529
40,1.93486011,0,27.70000076,-8.485269547,28.43832016,-4.98281908,0.479999542,0.479999542,0.528966784,0.571033001,0.021033108,1.487427711,1.376228213,9.898491859,10.07820606
41,1.776082873,0,27.03973389,-11.26783276,28.96839333,-9.535708427,0.420001984,0.439998627,0.557333589,0.548606575,-0.004363507,1.519950986,1.52095294,10.0182085,9.853579521
42,1.780327916,0,28.11100769,-7.938234806,28.73745346,-8.09113884,0.5,0.459999084,0.545333922,0.499765188,-0.022784367,1.079851389,1.381948352,10.28871918,10.07070065
43,1.767317772,0,25.98993874,-8.661044121,29.44499016,-4.028384686,0.419998169,0.439998627,0.523571551,0.534322739,0.005375594,1.328268886,1.333324671,9.62308979,9.393767357
44,2.36872673,0,26.25171661,-8.925333977,30.7143364,-3.438262939,0.419998169,0.440002441,0.489736199,0.529520273,0.019892037,1.257381201,1.264906049,10.21187496,9.52634716
45,2.554345608,1,28.60966492,-5.575537682,29.26639175,-3.492452145,0.459999084,0.459999084,0.530632854,0.538420379,0.003893763,1.395577192,1.301382542,10.2180624,9.759606361
46,2.133228779,0,28.96931839,-3.985694647,29.88705635,-2.643557072,0.419998169,0.439998627,0.493342727,0.50663805,0.006647661,1.308829784,1.3442626,10.32832909,10.41237354
47,2.229746103,0,27.69894409,-5.856694221,29.46691895,-3.840409994,0.439998627,0.420001984,0.50903964,0.511926949,0.001443654,1.354187012,1.375770569,10.12050056,10.10322189
